# TIC 276754403, Night 2025-04-29
# Transit midtime (Tc) = 2460795.7795524481
BJD,FLUX
2460795.642951389,1.0
2460795.720106333,1.0
2460795.797261277,0.9871163275106678
2460795.874416222,1.0
2460795.951571166,1.0
2460796.0287261102,1.0
2460796.1058810544,1.0
2460796.183035999,1.0
2460796.2601909433,1.0
2460796.3373458874,1.0
2460796.4145008316,1.0
2460796.4916557763,1.0
2460796.5688107205,1.0
2460796.6459656646,1.0
2460796.723120609,0.9871214134616257
2460796.8002755535,1.0
2460796.8774304977,1.0
2460796.954585442,1.0
2460797.031740386,1.0
2460797.1088953307,1.0
2460797.186050275,1.0
2460797.263205219,1.0
2460797.3403601632,1.0
2460797.4175151074,1.0
2460797.494670052,1.0
2460797.5718249963,1.0
2460797.6489799405,0.9871266524399817
2460797.7261348846,1.0
2460797.8032898293,1.0
2460797.8804447735,1.0
2460797.9575997177,1.0
2460798.034754662,1.0
2460798.1119096065,1.0
2460798.1890645507,1.0
2460798.266219495,1.0
2460798.343374439,1.0
2460798.4205293837,1.0
2460798.497684328,1.0
2460798.574839272,0.9871320482935702
2460798.6519942163,1.0
2460798.729149161,1.0
2460798.806304105,1.0
2460798.8834590493,1.0
2460798.9606139935,1.0
2460799.0377689376,1.0
2460799.1149238823,1.0
2460799.1920788265,1.0
2460799.2692337707,1.0
2460799.346388715,1.0
2460799.4235436595,1.0
2460799.5006986037,0.9871376049897856
2460799.577853548,1.0
2460799.655008492,1.0
2460799.7321634367,1.0
2460799.809318381,1.0
2460799.886473325,1.0
2460799.9636282693,1.0
2460800.040783214,1.0
2460800.117938158,1.0
2460800.1950931023,1.0
2460800.2722480465,1.0
2460800.349402991,1.0
2460800.4265579353,0.9871433266194637
2460800.5037128795,1.0
2460800.5808678237,1.0
2460800.658022768,1.0
2460800.7351777125,1.0
2460800.8123326567,1.0
2460800.889487601,1.0
2460800.966642545,1.0
2460801.0437974897,1.0
2460801.120952434,1.0
2460801.198107378,1.0
2460801.2752623223,1.0
2460801.352417267,0.9871492174009608
2460801.429572211,1.0
2460801.5067271553,1.0
2460801.5838820995,1.0
2460801.661037044,1.0
2460801.7381919883,1.0
2460801.8153469325,1.0
2460801.8925018767,1.0
2460801.9696568213,1.0
2460802.0468117655,1.0
2460802.1239667097,1.0
2460802.201121654,1.0
2460802.278276598,0.9871552816753162
2460802.3554315427,1.0
2460802.432586487,1.0
2460802.509741431,1.0
2460802.5868963753,1.0
2460802.66405132,1.0
2460802.741206264,1.0
2460802.8183612083,1.0
2460802.8955161525,1.0
2460802.972671097,1.0
2460803.0498260413,1.0
2460803.1269809855,1.0
2460803.2041359297,0.9871615239469999
2460803.2812908744,1.0
2460803.3584458185,1.0
2460803.4356007627,1.0
2460803.512755707,1.0
2460803.5899106516,1.0
2460803.6670655957,1.0
2460803.74422054,1.0
2460803.821375484,1.0
2460803.8985304283,1.0
2460803.975685373,1.0
2460804.052840317,1.0
2460804.1299952613,0.9871679488346982
2460804.2071502055,1.0
2460804.28430515,1.0
2460804.3614600943,1.0
2460804.4386150385,1.0
