# TIC 276754403, Night 2025-07-15
# Transit midtime (Tc) = 2460872.5998194860
# T1 = 2460872.5443472126
# T4 = 2460872.6552917594
BJD,FLUX
2460872.5808533994,0.9871376314837195
2460872.581099247,0.9871332656890673
2460872.581345095,0.9871289990748429
2460872.5815909426,0.9871248297165821
2460872.5818367903,0.9871207557354079
2460872.582082638,0.9871167752969127
2460872.582328486,0.9871128866100832
2460872.5825743335,0.9871090879262646
2460872.5828201813,0.9871053775381646
2460872.583066029,0.9871017537788933
2460872.5833118767,0.9870982150210391
2460872.583557724,0.9870947596822449
2460872.5838035718,0.9870913861983296
2460872.5840494195,0.9870880930617264
2460872.5842952672,0.9870848787943503
2460872.584541115,0.9870817419534552
2460872.5847869627,0.9870786811308928
2460872.5850328105,0.9870756949523981
2460872.585278658,0.987072782076901
2460872.585524506,0.9870699411958619
2460872.5857703537,0.9870671710326321
2460872.5860162014,0.987064470341834
2460872.586262049,0.9870618379087667
2460872.5865078964,0.9870592725536262
2460872.586753744,0.9870567731116417
2460872.586999592,0.9870543384616914
2460872.5872454396,0.9870519675062254
2460872.5874912874,0.987049659175689
2460872.587737135,0.9870474124280421
2460872.587982983,0.9870452262482953
2460872.5882288306,0.9870430996480619
2460872.5884746783,0.9870410316651266
2460872.588720526,0.987039021363028
2460872.588966374,0.9870370678306581
2460872.5892122216,0.9870351701818733
2460872.589458069,0.9870333275585605
2460872.5897039166,0.9870315391164202
2460872.5899497643,0.9870298040455576
2460872.590195612,0.9870281215560854
2460872.59044146,0.9870264908813438
2460872.5906873075,0.9870249112775878
2460872.5909331553,0.9870233820236916
2460872.591179003,0.9870219024208573
2460872.5914248507,0.98702047179234
2460872.5916706985,0.9870190894831811
2460872.591916546,0.9870177548599518
2460872.5921623935,0.9870164673129017
2460872.5924082412,0.9870152262460568
2460872.592654089,0.9870140310916238
2460872.5928999367,0.987012881299929
2460872.5931457845,0.987011776341694
2460872.593391632,0.9870107157078348
2460872.59363748,0.9870096989092721
2460872.5938833277,0.9870087254767479
2460872.5941291754,0.9870077949606506
2460872.594375023,0.9870069069308504
2460872.594620871,0.9870060609765392
2460872.5948667186,0.987005256706081
2460872.595112566,0.9870044937482744
2460872.5953584136,0.9870037717465152
2460872.5956042614,0.9870030903673382
2460872.595850109,0.9870024492944371
2460872.596095957,0.987001848230036
2460872.5963418046,0.9870012868947804
2460872.5965876523,0.9870007650276397
2460872.5968335,0.9870002823858107
2460872.597079348,0.9869998387446333
2460872.5973251956,0.9869994338975093
2460872.5975710433,0.9869990676558291
2460872.597816891,0.9869987398489045
2460872.5980627383,0.9869984503244198
2460872.598308586,0.986998198946258
2460872.598554434,0.9869979855977411
2460872.5988002815,0.9869978101793242
2460872.5990461293,0.9869976726091436
2460872.599291977,0.9869975728229889
2460872.5995378247,0.98699751077428
2460872.5997836725,0.9869974864340495
2460872.60002952,0.9869974997909343
2460872.600275368,0.98699755085117
2460872.6005212157,0.986997639638594
2460872.6007670634,0.9869977661946538
2460872.6010129107,0.9869979305780742
2460872.6012587585,0.9869981328661952
2460872.601504606,0.9869983731531313
2460872.601750454,0.9869986515509792
2460872.6019963017,0.9869989681895811
2460872.6022421494,0.9869993232165714
2460872.602487997,0.9869997167974285
2460872.602733845,0.9870001491155342
2460872.6029796926,0.9870006203722385
2460872.6032255404,0.9870011307869315
2460872.603471388,0.987001680597121
2460872.603717236,0.9870022700585187
2460872.603963083,0.9870028994438996
2460872.604208931,0.987003569048046
2460872.6044547786,0.9870042791806996
2460872.6047006263,0.9870050301713655
2460872.604946474,0.9870058223682788
2460872.605192322,0.9870066561385287
2460872.6054381696,0.9870075318681928
2460872.6056840173,0.987008449962478
2460872.605929865,0.9870094108458696
2460872.606175713,0.9870104149622855
2460872.6064215605,0.9870114627752428
2460872.606667408,0.9870125547659164
2460872.6069132555,0.9870136914416789
2460872.6071591033,0.9870148733238784
2460872.607404951,0.9870161009562252
2460872.6076507987,0.9870173749029711
2460872.6078966465,0.9870186957491247
2460872.608142494,0.9870200641006744
2460872.608388342,0.9870214805848233
2460872.6086341897,0.9870229458502313
2460872.6088800374,0.9870244605672691
2460872.609125885,0.9870260254282809
2460872.609371733,0.9870276411478586
2460872.60961758,0.9870293084599189
2460872.609863428,0.9870310281307292
2460872.6101092757,0.9870328009402676
2460872.6103551234,0.9870346276950758
2460872.610600971,0.9870365092254805
2460872.610846819,0.9870384463859373
2460872.6110926666,0.9870404400553867
2460872.6113385144,0.9870424911376242
2460872.611584362,0.9870446005616837
2460872.61183021,0.9870467692822349
2460872.6120760576,0.9870489982799955
2460872.6123219053,0.9870512885621588
2460872.6125677526,0.9870536411583211
2460872.6128136003,0.9870560571388819
2460872.613059448,0.9870585375887877
2460872.613305296,0.9870610836257281
2460872.6135511436,0.9870636963962509
2460872.6137969913,0.9870663770762921
2460872.614042839,0.9870691268717244
2460872.614288687,0.9870719470189269
2460872.6145345345,0.9870748387853752
